wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776431229152,1,0,0,0,0
1776431230152,61,8,4740,20,58
1776431231152,121,8,34020,40,532
1776431232152,181,8,63300,60,1010
1776431233152,241,8,92580,80,1486
1776431234152,301,8,121860,100,1966
1776431235152,361,8,151140,120,2446
1776431236152,421,8,180420,140,2927
1776431237152,481,8,209700,160,3406
1776431238152,541,8,238980,180,3885
1776431239152,601,8,268260,200,4365
1776431240152,661,8,297540,220,4845
1776431241152,721,8,326820,240,5325
1776431242152,781,8,356100,260,5806
1776431243152,841,8,385380,280,6285
1776431244152,901,8,414660,300,6765
1776431245152,961,8,443940,320,7246
1776431246152,1021,8,473220,340,7726
1776431247152,1081,8,502500,360,8205
1776431248152,1141,8,531780,380,8686
1776431249154,1201,8,561060,400,9169
1776431250154,1261,8,590340,420,9651
1776431251155,1321,8,619620,440,10132
1776431252157,1381,8,648900,460,10613
1776431253158,1441,8,678180,480,11093
1776431254160,1501,8,707460,500,11573
1776431255161,1561,8,736740,520,12053
1776431256161,1621,8,766020,540,12533
1776431257161,1681,8,795300,560,13013
1776431258162,1741,8,824580,580,13493
1776431259162,1801,8,853860,600,13973
1776431260162,1861,8,883140,620,14453
1776431261162,1921,8,912420,640,14933
1776431262162,1981,8,941700,660,15413
1776431263163,2041,8,970980,680,15893
1776431264163,2101,8,1000260,700,16373
1776431265164,2161,8,1029540,720,16853
1776431266164,2221,8,1058820,740,17333
1776431267165,2281,8,1088100,760,17813
1776431268166,2341,8,1117380,780,18293
1776431269167,2401,8,1146660,800,18773
1776431270168,2462,8,1175940,820,19254
1776431271168,2522,8,1205220,840,19736
1776431272168,2582,8,1234500,860,20213
1776431273168,2642,8,1263780,880,20695
1776431274168,2702,8,1293060,900,21177
1776431275168,2762,8,1322340,920,21657
1776431276168,2822,8,1351620,940,22135
1776431277168,2882,8,1380900,960,22614
1776431278168,2942,8,1410180,980,23095
1776431279168,3002,8,1439460,1000,23574
1776431280168,3062,8,1468740,1020,24054
1776431281168,3122,8,1498020,1040,24534
1776431282168,3182,8,1527300,1060,25014
1776431283168,3242,8,1556580,1080,25494
1776431284168,3302,8,1585860,1100,25975
1776431285168,3362,8,1615140,1120,26453
1776431286168,3422,8,1644420,1140,26934
1776431287168,3482,8,1673700,1160,27415
1776431288168,3542,8,1702980,1180,27895
1776431289168,3602,8,1732260,1200,28376
1776431290168,3662,8,1761540,1220,28775
